Produkt,Kategori,Total kg CO2e/kg,Landbrug,ILUC,Forarbejdning,Emballage,Transport,Detail
Østers,Fisk og skaldyr,0.85,0.00,0.01,0.45,0.08,0.31,0.00
Musling,Fisk og skaldyr,0.19,0.00,0.00,0.08,0.08,0.02,0.00
Blæksprutte,Fisk og skaldyr,0.38,0.00,0.01,0.08,0.26,0.02,0.00
Champignon,Svampe og svampeprodukter,0.37,0.06,0.01,0.00,0.26,0.04,0.00
Østershat,Svampe og svampeprodukter,0.37,0.06,0.01,0.00,0.26,0.04,0.00
Mandeldrik. ikke beriget,Planteprodukter og -drikke,0.37,0.17,0.07,-0.02,0.08,0.05,0.01
Risdrik. tilsat calcium,Planteprodukter og -drikke,1.23,0.93,0.10,0.00,0.08,0.11,0.01
Havredrik. tilsat calcium,Planteprodukter og -drikke,0.38,0.07,0.05,0.14,0.08,0.03,0.01
Sojadrik. tilsat calcium,Planteprodukter og -drikke,0.41,0.07,0.10,0.10,0.08,0.05,0.01
Bouillon. hønsekød. spiseklar,Smagsgivere og krydderier,0.35,0.01,0.02,0.15,0.13,0.03,0.01
Kødboller. okse/gris. konserves,Kød og fjerkræ,13.55,10.20,2.61,-0.47,0.63,0.57,0.01
Bouillon. oksekød. spiseklar,Smagsgivere og krydderier,0.51,0.14,0.05,0.15,0.13,0.03,0.01
Kødboller. okse/gris,Kød og fjerkræ,13.55,10.20,2.61,-0.47,0.63,0.57,0.01
Melboller. uspec.,Korn og kornprodukter,1.33,0.25,0.14,0.59,0.26,0.08,0.00
Kødboller. okse/gris. dybfrost,Kød og fjerkræ,13.21,10.20,2.61,-0.45,0.26,0.57,0.02
Tomatsuppe. spiseklar,Færdigretter,1.95,0.81,0.21,0.57,0.22,0.13,0.01
Bouillon. oksekød. koncentreret. terning,Smagsgivere og krydderier,8.40,5.66,1.34,0.66,0.41,0.33,0.01
Melboller. dybfrost,Korn og kornprodukter,1.37,0.25,0.14,0.61,0.26,0.08,0.02
Kylling. grillstegt. færdigret,Færdigretter,4.70,1.67,1.23,0.04,1.18,0.59,0.00
Kylling. nuggets friturestegt. færdigretter,Kød og fjerkræ,4.25,1.65,1.12,0.67,0.26,0.52,0.02
Pizza med tomat og ost. færdigretter,Færdigretter,2.69,0.76,0.24,1.35,0.21,0.13,0.00
Pizza med fisk. tomat og ost. færdigretter,Færdigretter,3.69,0.85,0.72,1.79,0.21,0.12,0.00
Pizza med salami. tomat og ost. færdigretter,Færdigretter,3.08,0.97,0.49,1.25,0.21,0.15,0.00
Pizza med grønt og frugt. tomat og ost. færdigretter,Færdigretter,2.42,0.53,0.20,1.38,0.21,0.11,0.00
Pizza med kød. tomat og ost. færdigretter,Færdigretter,4.33,2.00,0.74,1.11,0.21,0.27,0.00
Pizza med kød og fisk. tomat og ost. færdigretter,Færdigretter,4.01,1.42,0.73,1.45,0.21,0.19,0.00
Kalv og flæsk. hakket. 15-20% fedt,Kød og fjerkræ,18.33,14.53,3.68,-0.80,0.14,0.78,0.00
Gedemælk,Mælk. mejeriprodukter og æg,2.63,1.80,0.26,0.10,0.08,0.39,0.00
Marcipan,Brød og bageartikler,9.98,5.14,3.07,0.10,0.67,0.99,0.01
Sirup,Slik og sukkervarer,1.42,0.65,0.24,0.01,0.42,0.09,0.01
